Player,Rec Yds,Rec Tar,Rec Tds,Rec YAC,Rush Yds,Rush Att,Rush Tds,Pass Yds,Pass Tds,Pass Att,Fumbles,Interceptions,Total Fantasy Pts,Team
"Jason Witten (DAL, TE)",1039,147,3,317,0,0,0,0,0,0,0,0,149.4,DAL
"Jimmy Graham (SEA, TE)",982,135,9,306,0,0,0,0,0,0,1,0,171.45,NO
"Greg Olsen (CAR, TE)",843,104,5,259,0,0,0,0,0,0,0,0,131.55,CAR
"Rob Gronkowski (NE, TE)",790,79,11,300,0,0,0,0,0,0,1,0,156.75,NE
"Jermaine Gresham (ARI, TE)",737,94,5,405,0,0,0,0,0,0,2,0,115.7,CIN
"Brent Celek (PHI, TE)",684,88,1,295,0,0,0,0,0,0,1,0,86.65,PHI
"Dennis Pitta (BAL, TE)",669,94,7,251,0,0,0,0,0,0,0,0,124.15,BAL
"Martellus Bennett (GB, TE)",626,90,5,205,0,0,0,0,0,0,0,0,106.35,NYG
"Marcedes Lewis (JAC, TE)",540,77,4,242,0,0,0,0,0,0,0,0,91.0,JAC
"Antonio Gates (SD, TE)",538,80,7,130,0,0,0,0,0,0,0,0,108.05,SD
"Jared Cook (OAK, TE)",523,72,4,157,0,0,0,0,0,0,1,0,85.3,TEN
"Dwayne Allen (NE, TE)",521,66,3,242,5,3,0,0,0,0,1,0,79.85,IND
"Lance Kendricks (GB, TE)",519,64,4,225,0,0,0,0,0,0,1,0,84.4,STL
"Benjamin Watson (BAL, TE)",501,82,3,220,0,0,0,0,0,0,1,0,78.35,CLE
"Kyle Rudolph (MIN, TE)",493,93,9,275,0,0,0,0,0,0,0,0,116.55,MIN
"Rob Housler (NE, TE)",417,68,0,182,0,0,0,0,0,0,0,0,52.95,ARI
"Delanie Walker (TEN, TE)",339,39,3,50,0,0,0,0,0,0,1,0,55.15,SF
"Anthony Fasano (MIA, TE)",332,69,5,90,0,0,0,0,0,0,0,0,73.45,MIA
"Jeff Cumberland (SD, TE)",320,52,3,92,0,0,0,0,0,0,0,0,57.0,NYJ
"Logan Paulsen (SF, TE)",308,38,1,122,0,0,0,0,0,0,0,0,43.05,WAS
"Coby Fleener (NO, TE)",281,48,2,95,0,0,0,0,0,0,0,0,46.6,IND
"Ed Dickson (CAR, TE)",225,33,0,83,0,0,0,0,0,0,0,0,27.75,BAL
"Charles Clay (BUF, TE)",212,33,2,81,0,0,0,0,0,0,0,0,37.7,MIA
"Luke Stocker (TB, TE)",165,27,1,89,0,0,0,0,0,0,0,0,26.5,TB
"Niles Paul (WAS, TE)",152,15,1,56,-1,1,0,0,0,0,1,0,21.099999999999998,WAS
"Michael Hoomanawanui (NO, TE)",109,7,0,48,0,0,0,0,0,0,0,0,12.15,NE
"James Hanna (DAL, TE)",86,11,0,50,0,0,0,0,0,0,0,0,10.6,DAL
"Rhett Ellison (NYG, TE)",65,9,0,66,0,0,0,0,0,0,0,0,8.25,MIN
"Virgil Green (DEN, TE)",63,6,0,62,0,0,0,0,0,0,0,0,7.55,DEN
"Ladarius Green (PIT, TE)",56,4,0,42,0,0,0,0,0,0,0,0,6.6,SD
"John Phillips (NO, TE)",55,10,1,6,0,0,0,0,0,0,0,0,13.5,DAL
"Garrett Celek (SF, TE)",51,7,0,21,0,0,0,0,0,0,0,0,6.1,SF
"Cory Harkey (LA, TE)",21,2,0,7,0,0,0,0,0,0,0,0,2.35,STL
"Lee Smith (OAK, TE)",13,4,2,5,0,0,0,0,0,0,0,0,14.3,BUF
