Player,Rec Yds,Rec Tar,Rec Tds,Rec YAC,Rush Yds,Rush Att,Rush Tds,Pass Yds,Pass Tds,Pass Att,Fumbles,Interceptions,Total Fantasy Pts,Team
"Rob Gronkowski (NE, TE)",1327,124,17,637,2,1,1,0,0,0,0,0,240.89999999999998,NE
"Jimmy Graham (SEA, TE)",1310,149,11,466,0,0,0,0,0,0,1,0,195.0,NO
"Antonio Gates (SD, TE)",778,88,7,256,0,0,0,0,0,0,0,0,119.8,SD
"Jermaine Gresham (ARI, TE)",596,92,6,178,0,0,0,0,0,0,1,0,93.6,CIN
"Ed Dickson (CAR, TE)",528,89,5,156,0,0,0,0,0,0,0,0,82.8,BAL
"Greg Olsen (CAR, TE)",540,89,5,199,0,0,0,0,0,0,1,0,82.0,CAR
"Brent Celek (PHI, TE)",811,96,5,476,0,0,0,0,0,0,0,0,111.1,PHI
"Anthony Fasano (MIA, TE)",451,54,5,104,0,0,0,0,0,0,0,0,75.1,MIA
"Jason Witten (DAL, TE)",942,117,5,383,0,0,0,0,0,0,1,0,122.2,DAL
"Dennis Pitta (BAL, TE)",405,56,3,196,0,0,0,0,0,0,0,0,58.5,BAL
"Kyle Rudolph (MIN, TE)",249,39,3,88,0,0,0,0,0,0,0,0,42.9,MIN
"Jared Cook (OAK, TE)",759,81,3,277,0,0,0,0,0,0,2,0,89.9,TEN
"Delanie Walker (TEN, TE)",198,35,3,77,5,3,0,0,0,0,0,0,38.3,SF
"Charles Clay (BUF, TE)",233,25,3,82,0,0,0,0,0,0,0,0,41.3,MIA
"Benjamin Watson (BAL, TE)",410,71,2,196,0,0,0,0,0,0,0,0,53.0,CLE
"John Phillips (NO, TE)",101,18,1,90,0,0,0,0,0,0,0,0,16.1,DAL
"Zach Miller (CHI, TE)",42,7,1,17,0,0,0,0,0,0,0,0,10.2,JAC
"David Johnson (PIT, TE)",91,14,1,56,0,0,0,0,0,0,0,0,15.1,PIT
"Virgil Green (DEN, TE)",24,5,0,11,0,0,0,0,0,0,0,0,2.4,DEN
"Martellus Bennett (GB, TE)",144,26,0,102,0,0,0,0,0,0,0,0,14.4,DAL
"Logan Paulsen (SF, TE)",138,19,0,62,0,0,0,0,0,0,0,0,13.8,WAS
"Jeff Cumberland (SD, TE)",35,5,0,17,0,0,0,0,0,0,0,0,3.5,NYJ
"Michael Hoomanawanui (NO, TE)",83,13,0,62,0,0,0,0,0,0,0,0,8.3,STL
"Lance Kendricks (GB, TE)",352,58,0,185,-8,1,0,0,0,0,1,0,32.400000000000006,STL
"Rob Housler (NE, TE)",133,26,0,49,0,0,0,0,0,0,1,0,11.3,ARI
"Luke Stocker (TB, TE)",92,17,0,51,0,0,0,0,0,0,0,0,9.2,TB
"Julius Thomas (MIA, TE)",5,7,0,7,0,0,0,0,0,0,0,0,0.5,DEN
"Niles Paul (WAS, TE)",25,5,0,1,7,1,0,0,0,0,0,0,3.2,WAS
"Lee Smith (OAK, TE)",11,4,0,4,0,0,0,0,0,0,0,0,1.1,BUF
"Marcedes Lewis (JAC, TE)",460,85,0,150,0,0,0,0,0,0,0,0,46.0,JAC
