Player,Rec Yds,Rec Tar,Rec Tds,Rec YAC,Rush Yds,Rush Att,Rush Tds,Pass Yds,Pass Tds,Pass Att,Fumbles,Interceptions,Total Fantasy Pts,Team
"Tyler Eifert (CIN, TE)",615,74,13,229,0,0,0,0,0,0,0,0,139.5,CIN
"Rob Gronkowski (NE, TE)",1176,120,11,554,0,0,0,0,0,0,0,0,183.6,NE
"Jordan Reed (WAS, TE)",952,114,11,473,0,0,0,0,0,0,3,0,155.2,WAS
"Richard Rodgers (GB, TE)",510,85,8,218,11,1,0,0,0,0,0,0,100.1,GB
"Greg Olsen (CAR, TE)",1104,124,7,344,0,0,0,0,0,0,1,0,150.4,CAR
"Delanie Walker (TEN, TE)",1088,133,6,389,36,1,0,0,0,0,0,0,148.4,TEN
"Benjamin Watson (BAL, TE)",825,110,6,248,0,0,0,0,0,0,1,0,116.5,NO
"Travis Kelce (KC, TE)",875,103,5,515,0,0,0,0,0,0,2,0,113.5,KC
"Kyle Rudolph (MIN, TE)",495,73,5,193,0,0,0,0,0,0,0,0,79.5,MIN
"Antonio Gates (SD, TE)",630,85,5,239,0,0,0,0,0,0,0,0,93.0,SD
"Julius Thomas (MIA, TE)",455,80,5,145,0,0,0,0,0,0,0,0,75.5,JAC
"Zach Miller (CHI, TE)",439,46,5,222,0,0,0,0,0,0,0,0,73.9,CHI
"Eric Ebron (DET, TE)",537,70,5,285,0,0,0,0,0,0,0,0,83.7,DET
"Austin Seferian-Jenkins (NYJ, TE)",338,39,4,96,0,0,0,0,0,0,0,0,57.8,TB
"Ladarius Green (PIT, TE)",429,63,4,222,0,0,0,0,0,0,0,0,66.9,SD
"Crockett Gillmore (BAL, TE)",412,47,4,240,0,0,0,0,0,0,0,0,65.2,BAL
"Garrett Celek (SF, TE)",186,28,3,98,0,0,0,0,0,0,0,0,36.6,SF
"Darren Fells (DET, TE)",311,28,3,140,0,0,0,0,0,0,0,0,49.1,ARI
"Coby Fleener (NO, TE)",491,84,3,178,0,0,0,0,0,0,0,0,67.1,IND
"Jason Witten (DAL, TE)",712,104,3,242,0,0,0,0,0,0,1,0,87.2,DAL
"Brent Celek (PHI, TE)",398,35,3,173,0,0,0,0,0,0,1,0,55.8,PHI
"Martellus Bennett (GB, TE)",439,80,3,220,0,0,0,0,0,0,2,0,57.9,CHI
"Will Tye (NYG, TE)",464,62,3,183,0,0,0,0,0,0,1,0,62.400000000000006,NYG
"Clive Walford (OAK, TE)",329,50,3,121,0,0,0,0,0,0,0,0,50.9,OAK
"Michael Hoomanawanui (NO, TE)",76,16,3,25,0,1,0,0,0,0,1,0,23.6,NO
"Cameron Brate (TB, TE)",288,30,3,53,0,0,0,0,0,0,0,0,46.8,TB
"Charles Clay (BUF, TE)",528,78,3,230,0,0,0,0,0,0,1,0,68.8,BUF
"Vance McDonald (SF, TE)",326,46,3,184,0,0,0,0,0,0,2,0,46.6,SF
"Lance Kendricks (GB, TE)",245,40,2,129,0,0,0,0,0,0,0,0,36.5,STL
"Anthony Fasano (MIA, TE)",289,42,2,151,0,0,0,0,0,0,0,0,40.9,TEN
"Ed Dickson (CAR, TE)",121,26,2,53,0,0,0,0,0,0,0,0,24.1,CAR
"Jimmy Graham (SEA, TE)",605,74,2,234,0,0,0,0,0,0,0,0,72.5,SEA
"Zach Ertz (PHI, TE)",853,112,2,269,0,0,0,0,0,0,2,0,93.3,PHI
"Ryan Griffin (HOU, TE)",251,34,2,113,0,0,0,0,0,0,0,0,37.1,HOU
"Josh Hill (NO, TE)",120,30,2,76,0,0,0,0,0,0,0,0,24.0,NO
"Jake Stoneburner (NO, TE)",47,5,2,16,0,0,0,0,0,0,0,0,16.7,MIA
"Troy Niklas (ARI, TE)",33,4,2,1,0,0,0,0,0,0,0,0,15.3,ARI
"Luke Stocker (TB, TE)",61,13,1,39,0,0,0,0,0,0,0,0,12.1,TB
"Jesse James (PIT, TE)",56,11,1,20,0,0,0,0,0,0,0,0,11.6,PIT
"Justin Perillo (CHI, TE)",102,13,1,21,0,0,0,0,0,0,0,0,16.2,GB
"Tyler Kroft (CIN, TE)",129,15,1,71,0,0,0,0,0,0,0,0,18.9,CIN
"Dion Sims (CHI, TE)",127,25,1,70,0,0,0,0,0,0,1,0,16.7,MIA
"Luke Willson (SEA, TE)",213,26,1,107,0,0,0,0,0,0,0,0,27.3,SEA
"Demetrius Harris (KC, TE)",74,11,1,22,0,0,0,0,0,0,0,0,13.4,KC
"Virgil Green (DEN, TE)",173,15,1,121,0,0,0,0,0,0,0,0,23.3,DEN
