Player,Rec Yds,Rec Tar,Rec Tds,Rec YAC,Rush Yds,Rush Att,Rush Tds,Pass Yds,Pass Tds,Pass Att,Fumbles,Interceptions,Total Fantasy Pts,Team
"Jeremy Maclin (KC, WR)",964,115,10,273,36,3,0,0,0,0,1,0,193.0,PHI
"Mike Wallace (BAL, WR)",1257,99,10,352,39,5,0,0,0,0,1,0,217.6,PIT
"Kenny Britt (CLE, WR)",775,73,9,151,0,0,0,0,0,0,1,0,150.5,TEN
"Pierre Garcon (SF, WR)",816,119,6,251,6,2,0,0,0,0,1,0,150.2,IND
"Michael Crabtree (OAK, WR)",741,101,6,292,0,0,0,0,0,0,0,0,137.6,SF
"Dez Bryant (DAL, WR)",561,72,6,193,0,1,0,0,0,0,2,0,110.6,DAL
"Larry Fitzgerald (ARI, WR)",1137,173,6,210,0,0,0,0,0,0,0,0,194.7,ARI
"DeSean Jackson (TB, WR)",1056,96,6,346,104,16,1,0,0,0,4,0,173.5,PHI
"Devin Hester (SEA, WR)",475,73,4,226,30,7,0,0,0,0,0,0,94.5,CHI
"Eddie Royal (CHI, WR)",627,105,3,361,78,7,0,0,0,0,4,0,110.0,DEN
"Brandon Tate (BUF, WR)",432,46,3,151,62,5,0,0,0,0,1,0,77.4,NE
"Danny Amendola (NE, WR)",689,123,3,363,81,7,0,0,0,0,3,0,131.5,STL
"Brandon Marshall (NYG, WR)",1014,146,3,226,3,2,0,0,0,1,2,0,158.70000000000002,MIA
"Steve Smith (BAL, WR)",554,99,2,201,9,1,0,0,0,0,3,0,85.30000000000001,CAR
"Jordy Nelson (GB, WR)",582,64,2,250,0,0,0,0,0,0,3,0,86.7,GB
"Arrelious Benn (JAC, WR)",395,38,2,170,35,6,0,0,0,0,1,0,65.5,TB
"Emmanuel Sanders (DEN, WR)",376,50,2,71,0,0,0,0,0,0,2,0,59.6,PIT
"Andre Roberts (ATL, WR)",307,49,2,138,0,0,0,0,0,0,2,0,50.7,ARI
"Demaryius Thomas (DEN, WR)",283,39,2,139,1,2,0,0,0,0,3,0,45.4,DEN
"Darrius Heyward-Bey (PIT, WR)",366,65,1,106,48,4,0,0,0,0,1,0,58.4,OAK
"Eric Decker (NYJ, WR)",106,8,1,24,0,0,0,0,0,0,3,0,13.600000000000001,DEN
"Harry Douglas (TEN, WR)",294,53,1,124,-5,2,0,0,0,0,0,0,45.9,ATL
"Ted Ginn (NO, WR)",163,35,1,38,11,2,0,0,0,0,1,0,27.400000000000002,SF
"Matthew Slater (NE, WR)",0,1,0,0,0,0,0,0,0,0,0,0,0.0,NE
"Golden Tate (DET, WR)",227,39,0,109,4,2,0,0,0,0,1,0,31.6,SEA
"Antonio Brown (PIT, WR)",167,20,0,113,0,0,0,0,0,0,1,0,22.7,PIT
"Eric Weems (TEN, WR)",61,6,0,22,0,0,0,0,0,0,0,0,9.1,ATL
"Julian Edelman (NE, WR)",86,14,0,99,14,2,0,0,0,0,1,0,11.5,NE
