Player,Rec Yds,Rec Tar,Rec Tds,Rec YAC,Rush Yds,Rush Att,Rush Tds,Pass Yds,Pass Tds,Pass Att,Fumbles,Interceptions,Total Fantasy Pts,Team
"Julio Jones (ATL, WR)",1871,203,8,641,0,0,0,0,0,0,3,0,263.1,ATL
"Antonio Brown (PIT, WR)",1834,193,10,587,28,3,0,0,0,0,3,0,274.2,PIT
"DeAndre Hopkins (HOU, WR)",1521,191,11,231,0,0,0,0,0,0,1,0,243.85,HOU
"Brandon Marshall (NYG, WR)",1502,173,14,442,0,0,0,0,0,0,3,0,255.45,NYJ
"Odell Beckham (NYG, WR)",1449,158,13,589,3,1,0,0,0,0,2,0,243.20000000000002,NYG
"Allen Robinson (JAC, WR)",1400,151,14,356,0,0,0,0,0,0,0,0,244.0,JAC
"Demaryius Thomas (DEN, WR)",1304,177,6,463,0,0,0,0,0,0,2,0,188.65,DEN
"A.J. Green (CIN, WR)",1297,132,10,336,0,0,0,0,0,0,1,0,209.2,CIN
"Larry Fitzgerald (ARI, WR)",1215,146,9,462,0,0,0,0,0,0,3,0,196.75,ARI
"Mike Evans (TB, WR)",1208,148,3,234,0,0,0,0,0,0,1,0,155.3,TB
"Jarvis Landry (MIA, WR)",1159,167,4,538,111,17,1,9,0,1,1,0,182.75,MIA
"Brandin Cooks (NE, WR)",1140,129,9,446,18,8,0,0,0,0,1,0,188.8,NO
"Emmanuel Sanders (DEN, WR)",1135,136,6,387,29,3,0,0,0,0,2,0,167.4,DEN
"T.Y. Hilton (IND, WR)",1124,134,5,381,0,0,0,0,0,0,1,0,157.65,IND
"Jeremy Maclin (KC, WR)",1088,124,8,354,11,4,0,0,0,0,2,0,175.65,KC
"Amari Cooper (OAK, WR)",1070,130,6,373,-3,3,0,0,0,0,1,0,158.7,OAK
"Doug Baldwin (SEA, WR)",1069,103,14,442,0,0,0,0,0,0,1,0,208.4,SEA
"Sammy Watkins (BUF, WR)",1047,96,9,179,1,1,0,0,0,0,0,0,173.79999999999998,BUF
"Allen Hurns (JAC, WR)",1030,105,10,369,0,0,0,0,0,0,2,0,175.0,JAC
"Eric Decker (NYJ, WR)",1027,132,12,214,0,0,0,0,0,0,1,0,192.7,NYJ
"John Brown (ARI, WR)",1003,101,7,324,22,3,0,0,0,0,1,0,158.75,ARI
"Jordan Matthews (PHI, WR)",997,128,8,414,0,0,0,0,0,0,2,0,164.95,PHI
"Willie Snead (NO, WR)",990,102,3,344,0,0,0,0,0,0,3,0,128.5,NO
"Travis Benjamin (SD, WR)",966,125,5,354,12,4,0,0,0,0,3,0,138.79999999999998,CLE
"Kamar Aiken (IND, WR)",944,127,5,211,0,0,0,0,0,0,1,0,141.15,BAL
"Michael Crabtree (OAK, WR)",922,146,9,264,0,0,0,0,0,0,1,0,165.45,OAK
"Terrance Williams (DAL, WR)",840,93,3,275,0,0,0,0,0,0,0,0,115.0,DAL
"Randall Cobb (GB, WR)",829,129,6,436,50,13,0,0,0,0,1,0,141.65,GB
"Marvin Jones (DET, WR)",816,103,4,283,33,5,0,0,0,0,0,0,125.14999999999999,CIN
"Golden Tate (DET, WR)",813,129,6,526,41,6,0,0,0,0,1,0,141.9,DET
"Alshon Jeffery (PHI, WR)",807,94,4,175,0,0,0,0,0,0,0,0,118.2,CHI
"Rueben Randle (CHI, WR)",798,90,8,202,0,0,0,0,0,0,0,0,142.05,NYG
"Pierre Garcon (SF, WR)",777,111,6,165,0,0,0,0,0,0,0,0,131.7,WAS
"Martavis Bryant (PIT, WR)",765,92,6,330,37,5,1,0,0,0,1,0,132.7,PIT
"Markus Wheaton (CHI, WR)",749,79,5,158,0,0,0,0,0,0,0,0,115.9,PIT
