Player,Rec Yds,Rec Tar,Rec Tds,Rec YAC,Rush Yds,Rush Att,Rush Tds,Pass Yds,Pass Tds,Pass Att,Fumbles,Interceptions,Total Fantasy Pts,Team
"Doug Martin (TB, RB)",271,44,1,231,1402,288,6,0,0,0,5,0,207.54999999999998,TB
"Todd Gurley (LA, RB)",188,26,0,212,1108,229,10,0,0,0,3,0,188.85,STL
"Darren McFadden (DAL, RB)",328,53,0,300,1089,239,3,0,0,1,3,0,163.7,DAL
"Chris Ivory (JAC, RB)",217,37,1,271,1070,247,7,0,0,0,4,0,176.2,NYJ
"Latavius Murray (MIN, RB)",232,53,0,242,1066,267,6,0,0,0,5,0,166.05,OAK
"Devonta Freeman (ATL, RB)",578,97,3,432,1061,264,11,0,0,0,3,0,260.15,ATL
"Jonathan Stewart (CAR, RB)",99,21,1,112,989,242,6,0,0,0,3,0,148.8,CAR
"Frank Gore (IND, RB)",267,58,1,273,967,260,6,0,0,0,4,0,165.9,IND
"Matt Forte (NYJ, RB)",389,58,3,343,898,218,4,0,0,0,1,0,179.7,CHI
"LeSean McCoy (BUF, RB)",292,49,2,286,895,203,3,0,0,0,2,0,152.7,BUF
"Lamar Miller (HOU, RB)",397,57,2,416,872,194,8,0,0,0,1,0,196.65,MIA
"Thomas Rawls (SEA, RB)",76,11,1,76,830,147,4,0,0,0,1,0,120.85,SEA
"Jeremy Hill (CIN, RB)",79,19,1,87,794,223,11,0,0,0,3,0,157.05,CIN
"Mark Ingram (NO, RB)",397,59,0,437,768,164,6,0,0,0,2,0,160.75,NO
"Alfred Morris (DAL, RB)",55,13,0,42,763,202,1,0,0,0,0,0,90.3,WAS
"Eddie Lacy (SEA, RB)",188,28,2,213,758,187,3,0,0,0,4,0,121.6,GB
"T.J. Yeldon (JAC, RB)",279,46,1,298,740,182,2,0,0,0,0,0,128.9,JAC
"Giovani Bernard (CIN, RB)",472,66,0,456,730,154,2,0,0,0,1,0,142.45,CIN
"C.J. Anderson (DEN, RB)",183,36,0,149,720,152,5,0,0,0,2,0,122.55,DEN
"Isaiah Crowell (CLE, RB)",182,22,1,228,706,185,4,0,0,0,0,0,123.55,CLE
"DeMarco Murray (TEN, RB)",322,55,1,347,699,194,6,0,0,0,3,0,149.10000000000002,PHI
"Alfred Blue (HOU, RB)",109,16,1,68,698,183,2,0,0,0,2,0,98.44999999999999,HOU
"Melvin Gordon (SD, RB)",192,37,0,256,641,184,0,0,0,0,6,0,79.55,SD
"Charcandrick West (KC, RB)",214,34,1,232,634,160,4,0,0,0,1,0,117.8,KC
"Ameer Abdullah (DET, RB)",183,38,1,203,598,143,2,0,0,0,5,0,92.35,DET
"David Johnson (ARI, RB)",457,57,4,335,581,125,8,0,0,0,4,0,176.8,ARI
"Le'Veon Bell (PIT, RB)",136,26,0,139,556,113,3,0,0,0,0,0,93.2,PIT
"Ryan Mathews (PHI, RB)",146,28,1,147,539,108,6,0,0,0,3,0,109.5,PHI
"Jeremy Langford (CHI, RB)",279,42,1,228,537,148,6,0,0,0,0,0,129.1,CHI
"Charles Sims (TB, RB)",561,70,4,458,529,107,0,0,0,0,2,0,141.75,TB
"Antonio Andrews (TEN, RB)",174,29,0,161,520,143,3,41,1,1,1,0,95.65,TEN
"Javorius Allen (BAL, RB)",353,62,2,287,516,138,1,0,0,0,2,0,112.15,BAL
"Matt Jones (WAS, RB)",304,25,1,266,490,144,3,0,0,0,5,0,98.15,WAS
"Carlos Hyde (SF, RB)",53,15,0,61,470,116,3,0,0,0,2,0,69.05,SF
"Marshawn Lynch (OAK, RB)",80,21,0,87,417,111,3,0,0,0,0,0,70.95,SEA
"Spencer Ware (KC, RB)",5,6,0,12,403,72,6,0,0,0,0,0,78.3,KC
"Tevin Coleman (ATL, RB)",14,11,0,11,392,87,1,0,0,0,3,0,41.1,ATL
"Duke Johnson (CLE, RB)",534,74,2,481,379,104,0,0,0,0,1,0,116.55000000000001,CLE
"Tim Hightower (SF, RB)",129,13,0,134,375,96,4,0,0,0,0,0,77.4,NO
"Danny Woodhead (BAL, RB)",756,107,6,717,335,97,3,0,0,0,0,0,183.35,SD
"Darren Sproles (PHI, RB)",388,83,1,359,317,83,3,0,0,0,1,0,106.25,PHI
"Bilal Powell (NYJ, RB)",388,63,2,420,313,70,1,0,0,0,2,0,95.85,NYJ
"Andre Ellington (ARI, RB)",148,24,0,72,289,45,3,0,0,0,1,0,63.45,ARI
"Shaun Draughn (NYG, RB)",176,35,0,170,273,78,1,0,0,0,1,0,55.650000000000006,SF
"Jerick McKinnon (MIN, RB)",173,29,1,186,271,52,2,0,0,0,0,0,67.65,MIN
"Mike Gillislee (NE, RB)",29,7,0,31,267,47,3,0,0,0,1,0,47.1,BUF
"Shane Vereen (NYG, RB)",495,81,4,418,260,61,0,0,0,0,0,0,114.25,NYG
"Andre Williams (SD, RB)",7,3,0,3,257,88,1,0,0,0,0,0,32.65,NYG
"Christine Michael (GB, RB)",16,6,0,18,243,54,0,0,0,0,0,0,26.650000000000002,SEA
"Dion Lewis (NE, RB)",388,50,2,343,234,49,2,0,0,0,2,0,91.19999999999999,NE
"Terrance West (BAL, RB)",21,5,0,12,229,61,0,0,0,0,2,0,22.0,BAL
"Chris Thompson (WAS, RB)",240,48,2,168,216,35,0,0,0,0,2,0,62.349999999999994,WAS
"Brandon Bolden (NE, RB)",180,30,2,123,207,63,0,0,0,0,0,0,55.45,NE
"Robert Turbin (IND, RB)",23,10,0,26,199,50,1,0,0,0,0,0,29.95,CLE
"Bishop Sankey (MIN, RB)",139,23,1,133,193,47,1,0,0,0,2,0,44.7,TEN
"DuJuan Harris (SF, RB)",97,14,0,98,189,48,0,0,0,0,1,0,28.849999999999998,SF
"Jay Ajayi (MIA, RB)",90,11,0,56,187,49,1,0,0,0,0,0,35.45,MIA
"Cameron Artis-Payne (CAR, RB)",58,5,0,61,183,45,1,0,0,0,0,0,31.35,CAR
"Ka'Deem Carey (CHI, RB)",19,3,1,8,159,43,2,0,0,0,1,0,34.55,CHI
"Orleans Darkwa (NYG, RB)",31,5,0,26,153,37,1,0,0,0,0,0,25.150000000000002,NYG
